timestamp,test-class,test-method,time,description,result
2021-09-10 10:03:46.422,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3690,"[1] recordIndex=0, moment=2021/08/19 07:00, author=William Dunbar, info=http://www.twitter.com, text=This is so easy for me, come and fight me, XANA monsters!, mark=aa12-091921, deadline=2021/09/19 01:00, budget=USD 112.00, important=true",OK
2021-09-10 10:03:49.833,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3129,"[2] recordIndex=1, moment=2021/08/19 06:00, author=Aelita Stones, info=http://www.twitter.com, text=Jeremy, please save me! the Schyphozoa is coming for me!!, mark=aa11-091921, deadline=2021/09/19 01:00, budget=EUR 30.00, important=false",OK
2021-09-10 10:03:53.232,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3103,"[3] recordIndex=2, moment=2021/08/19 05:00, author=Ulrich Stern, info=http://www.facebook.com, text=Hey, come and get into Lyoko!, mark=aa10-091921, deadline=2021/09/19 01:00, budget=USD 88.00, important=true",OK
2021-09-10 10:03:57.017,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3508,"[4] recordIndex=3, moment=2021/08/19 04:00, author=Jeremy Belpois, info=http://www.ifscl.com, text=I can't get tired of publishing shouts!, mark=aa09-091921, deadline=2021/09/19 01:00, budget=EUR 100.00, important=false",OK
2021-09-10 10:04:00.386,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3109,"[5] recordIndex=4, moment=2021/08/19 03:00, author=Odd Della Robbia, info=http://www.google.com, text=Our laptop is very mindboggingly strange!, mark=aa08-091921, deadline=2021/09/19 01:00, budget=EUR 100.00, important=true",OK
2021-09-10 10:04:02.121,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,1475,"[6] recordIndex=5, moment=2021/08/19 02:00, author=Carmen María, info=null, text=I love cinema!, mark=aa07-091921, deadline=2021/09/27 02:00, budget=USD 110.00, important=false",Expected value 'aa07-091921' in attribute 4 of record 5, but found 'aa07-092721'
2021-09-10 10:04:04.608,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,2204,"[7] recordIndex=6, moment=2021/08/19 01:00, author=Guillermo Diz, info=null, text=I'm sad because I haven't found Leslie..., mark=aa06-091921, deadline=2021/09/19 01:00, budget=USD 90.00, important=false",OK
2021-09-10 10:04:17.916,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5346,"[1] recordIndex=11, author=Sex s s s s s s s s s s, text=Hello, info=null, mark=xa11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:04:23.26,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5057,"[2] recordIndex=10, author=Sex s s s s s s s s s s, text=Nigeria s s s s s s s s s s, info=null, mark=xa12-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:04:28.674,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5119,"[3] recordIndex=9, author=Sex s s s s s s s s s s, text=Hey hey, info=https://www.imdb.com, mark=xe11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
