timestamp,test-class,test-method,time,description,result
2021-09-10 10:11:31.395,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3353,"[1] recordIndex=0, moment=2021/08/19 07:00, author=William Dunbar, info=http://www.twitter.com, text=This is so easy for me, come and fight me, XANA monsters!, mark=aa12-091921, deadline=2021/09/19 01:00, budget=USD 112.00, important=true",OK
2021-09-10 10:11:34.949,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3257,"[2] recordIndex=1, moment=2021/08/19 06:00, author=Aelita Stones, info=http://www.twitter.com, text=Jeremy, please save me! the Schyphozoa is coming for me!!, mark=aa11-091921, deadline=2021/09/19 01:00, budget=EUR 30.00, important=false",OK
2021-09-10 10:11:39.082,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3722,"[3] recordIndex=2, moment=2021/08/19 05:00, author=Ulrich Stern, info=http://www.facebook.com, text=Hey, come and get into Lyoko!, mark=aa10-091921, deadline=2021/09/19 01:00, budget=USD 88.00, important=true",OK
2021-09-10 10:11:43.025,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3631,"[4] recordIndex=3, moment=2021/08/19 04:00, author=Jeremy Belpois, info=http://www.ifscl.com, text=I can't get tired of publishing shouts!, mark=aa09-091921, deadline=2021/09/19 01:00, budget=EUR 100.00, important=false",OK
2021-09-10 10:11:46.437,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3115,"[5] recordIndex=4, moment=2021/08/19 03:00, author=Odd Della Robbia, info=http://www.google.com, text=Our laptop is very mindboggingly strange!, mark=aa08-091921, deadline=2021/09/19 01:00, budget=EUR 100.00, important=true",OK
2021-09-10 10:11:49.816,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,3078,"[6] recordIndex=5, moment=2021/08/19 02:00, author=Carmen María, info=null, text=I love cinema!, mark=aa07-092721, deadline=2021/09/27 02:00, budget=USD 110.00, important=false",OK
2021-09-10 10:11:53.057,acme.testing.anonymous.shout.AnonymousShoutListTest,listAll,2708,"[7] recordIndex=6, moment=2021/08/19 01:00, author=Guillermo Diz, info=null, text=I'm sad because I haven't found Leslie..., mark=aa06-091921, deadline=2021/09/19 01:00, budget=USD 90.00, important=false",OK
2021-09-10 10:12:06.611,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5237,"[1] recordIndex=11, author=Sex s s s s s s s s s s, text=Hello, info=null, mark=xa11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:11.547,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4661,"[2] recordIndex=10, author=Sex s s s s s s s s s s, text=Nigeria s s s s s s s s s s, info=null, mark=xa12-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:16.521,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4676,"[3] recordIndex=9, author=Sex s s s s s s s s s s, text=Hey hey, info=https://www.imdb.com, mark=xe11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:21.845,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5049,"[4] recordIndex=8, author=Pacoo, text=Millio dollar s s s s s s s s s s s, info=null, mark=xg11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:27.61,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5489,"[5] recordIndex=7, author=Rebeca, text=HelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHell, info=null, mark=xh16-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:33.559,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5654,"[6] recordIndex=6, author=Javier, text=HelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHel, info=https://www.imdb.com, mark=xk17-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:39.53,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5669,"[7] recordIndex=5, author=Jesús, text=4, info=http://www.example.org, mark=xk21-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:45.406,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5540,"[8] recordIndex=4, author=PacoPacoPacoPacoPacoPacoo, text=I'm sad, info=null, mark=1111-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:51.244,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5514,"[9] recordIndex=3, author=Loren, text=I'm happy, info=http://www.example.org, mark=2X11-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:12:57.423,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,5917,"[10] recordIndex=2, author=Guillermo, text=Hey, info=null, mark=x311-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:01.845,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4150,"[11] recordIndex=1, author=Carmen, text=Potatoes, info=http://www.example.org, mark=3311-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:06.693,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createPositive,4585,"[12] recordIndex=0, author=Amanda, text=Hard core s s s s s s s s s s s, info=https://www.imdb.com, mark=x011-091021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:08.684,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1690,"[1] recordIndex=0, author=null, text=Potatoes, info=http://www.example.org, mark=aa11-091921, deadline=2020/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:10.612,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1637,"[2] recordIndex=1, author=Gui, text=Hey, info=null, mark=aa11-091021, deadline=2021/10/05 00:01, budget=EAR 10.00, important=true",OK
2021-09-10 10:13:12.526,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1648,"[3] recordIndex=2, author=LorenLorenLorenLorenLorenL, text=I'm happy, info=http://www.example.org, mark=null, deadline=2021/10/05 00:01, budget=EUR -10.00, important=true",OK
2021-09-10 10:13:14.421,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1617,"[4] recordIndex=3, author=Pacoo, text=null, info=null, mark=1 11-091021, deadline=2021/09/11 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:16.36,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1667,"[5] recordIndex=4, author=Carmen, text=HelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloHelloo, info=null, mark=hae-2109-rr/10, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:18.297,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1616,"[6] recordIndex=5, author=Pepito, text=Hello, info=jvh, mark=aa11-211021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:20.197,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1618,"[7] recordIndex=6, author=Million dollar, text=Heyy, info=null, mark=aa11-aa1021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:22.188,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1708,"[8] recordIndex=7, author=Sex s s s s s s s s, text=I'm sad, info=http://www.example.org, mark=xxxxaa11-211021xxxx, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:24.085,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1615,"[9] recordIndex=8, author=Jesús, text=Sex, info=http://www.example.org, mark=hae-2109-rr/10, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:26.047,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1667,"[10] recordIndex=9, author=Irene, text=Cialis s s s s s s s s, info=null, mark=aa11-211021, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:27.985,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1673,"[11] recordIndex=10, author=David, text=Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Viagra Sex Sex, info=http://www.example.org, mark=hae-2109-rr/10, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
2021-09-10 10:13:30.043,acme.testing.anonymous.shout.AnonymousShoutCreateTest,createNegative,1773,"[12] recordIndex=11, author=Irene, text=I'm sad, info=http://www.viagra.org, mark=aa11-2110222221, deadline=2021/10/05 00:01, budget=EUR 10.00, important=true",OK
